loss,accuracy,lr
0.018671462312340736,1.0,0.001
0.01825292780995369,1.0,0.001
0.017522688955068588,1.0,0.001
0.01715693064033985,1.0,0.001
0.01660827361047268,1.0,0.001
0.016153091564774513,1.0,0.001
0.015757324174046516,1.0,0.001
0.015265995636582375,1.0,0.001
0.014944096095860004,1.0,0.001
0.014508326537907124,1.0,0.001
0.014096343889832497,1.0,0.001
0.013794614002108574,1.0,0.001
0.0134615832939744,1.0,0.001
0.013085097074508667,1.0,0.001
0.012800931930541992,1.0,0.001
0.012491486966609955,1.0,0.001
0.01219167560338974,1.0,0.001
0.011876055039465427,1.0,0.001
0.011653749272227287,1.0,0.001
0.011380947194993496,1.0,0.001
0.011113869957625866,1.0,0.001
0.010904082097113132,1.0,0.001
0.010648459196090698,1.0,0.001
0.010423342697322369,1.0,0.001
0.010200033895671368,1.0,0.001
0.009996263310313225,1.0,0.001
0.009786312468349934,1.0,0.001
0.009594159200787544,1.0,0.001
0.009410333819687366,1.0,0.001
0.009218782186508179,1.0,0.001
0.009037409909069538,1.0,0.001
0.00886449683457613,1.0,0.001
0.008696519769728184,1.0,0.001
0.008533677086234093,1.0,0.001
0.008380318060517311,1.0,0.001
0.008226645179092884,1.0,0.001
0.00807294249534607,1.0,0.001
0.007929871790111065,1.0,0.001
0.007785672787576914,1.0,0.001
0.0076522501185536385,1.0,0.001
0.007518972270190716,1.0,0.001
0.0073897563852369785,1.0,0.001
0.007267190609127283,1.0,0.001
0.007145875133574009,1.0,0.001
0.0070304470136761665,1.0,0.001
0.006914558354765177,1.0,0.001
0.006802557501941919,1.0,0.001
0.006691332906484604,1.0,0.001
0.006584706250578165,1.0,0.001
0.006482320837676525,1.0,0.001
0.0063806637190282345,1.0,0.001
0.006283722817897797,1.0,0.001
0.006188139319419861,1.0,0.001
0.006094367243349552,1.0,0.001
0.006002143491059542,1.0,0.001
0.005913920700550079,1.0,0.001
0.005827069748193026,1.0,0.001
0.005741597153246403,1.0,0.001
0.005659156013280153,1.0,0.001
0.005578067619353533,1.0,0.001
0.0055001466535031796,1.0,0.001
0.005422899965196848,1.0,0.001
0.0053474185988307,1.0,0.001
0.005273261107504368,1.0,0.001
0.0052004544995725155,1.0,0.001
0.005129737313836813,1.0,0.001
0.005060040857642889,1.0,0.001
0.004992337431758642,1.0,0.001
0.004925729241222143,1.0,0.001
0.004861239809542894,1.0,0.001
0.00479771476238966,1.0,0.001
0.0047352551482617855,1.0,0.001
0.004674646072089672,1.0,0.001
0.0046148342080414295,1.0,0.001
0.0045559220016002655,1.0,0.001
0.004499142523854971,1.0,0.001
0.004441998433321714,1.0,0.001
0.0043876636773347855,1.0,0.001
0.004332829266786575,1.0,0.001
